;;; ;Oxygen;Oxygen;Oxygen;;Compensation;Temperature;('C);;Pressure;Humidity;Temp. Probe;Int. Temp.;Analog In;Raw Data:; dphi (°);;;Signal;Intensity;(mV);;Ambient;Light;(mV);;Advanced Raw Values (only logged while raw data window is open);
Date;Time (HH:MM:SS);Time (s);Comment;Ch1;Ch2;Ch3;Ch4;Ch 1;Ch 2;Ch 3;Ch 4;(mbar);(%);('C);('C); (mV);Ch 1;Ch 2;Ch 3;Ch 4;Ch1;Ch2;Ch3;Ch4;Ch1;Ch2;Ch3;Ch4; (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi);
23/09/2024;10:30:44;0.00;;99.113;102.47;97.638;---;15.715;15.715;15.715;---;993.54;72.455;15.715;---;---;24.792;24.169;25.139;---;62.726;19.266;8.189;---;4.885;5.746;3.740;---;;
23/09/2024;10:31:14;30.00;;99.151;101.88;96.822;---;15.717;15.717;15.717;---;993.54;72.806;15.717;---;---;24.788;24.236;25.237;---;62.710;19.359;8.175;---;4.896;5.695;3.691;---;;
23/09/2024;10:31:44;60.00;;99.231;100.63;96.845;---;15.711;15.711;15.711;---;993.57;72.781;15.711;---;---;24.779;24.380;25.234;---;62.701;19.375;8.185;---;4.905;5.706;3.693;---;;
23/09/2024;10:32:14;90.00;;99.239;100.89;95.507;---;15.715;15.715;15.715;---;993.56;72.720;15.715;---;---;24.777;24.349;25.397;---;62.738;19.426;8.180;---;4.891;5.693;3.728;---;;
23/09/2024;10:32:44;120.00;;99.128;100.59;97.404;---;15.711;15.711;15.711;---;993.60;72.743;15.711;---;---;24.790;24.385;25.167;---;62.751;19.459;8.185;---;4.961;5.712;3.686;---;;
23/09/2024;10:33:14;150.00;;99.089;101.03;96.635;---;15.711;15.711;15.711;---;993.55;72.753;15.711;---;---;24.795;24.334;25.259;---;62.742;19.465;8.216;---;4.885;5.754;3.710;---;;
23/09/2024;10:33:44;180.00;;99.448;100.43;96.160;---;15.710;15.710;15.710;---;993.55;72.834;15.710;---;---;24.753;24.404;25.318;---;62.741;19.454;8.216;---;4.925;5.732;3.703;---;;
23/09/2024;10:34:14;210.00;;99.135;100.65;96.680;---;15.718;15.718;15.718;---;993.56;72.961;15.718;---;---;24.790;24.378;25.254;---;62.747;19.463;8.202;---;4.925;5.710;3.684;---;;
23/09/2024;10:34:44;240.00;;99.365;100.64;96.326;---;15.717;15.717;15.717;---;993.60;73.180;15.717;---;---;24.761;24.378;25.296;---;62.784;19.467;8.223;---;4.903;5.708;3.682;---;;
23/09/2024;10:35:14;270.00;;99.214;99.636;97.080;---;15.724;15.724;15.724;---;993.55;73.376;15.724;---;---;24.779;24.495;25.205;---;62.771;19.482;8.226;---;4.908;5.674;3.694;---;;
23/09/2024;10:35:44;300.00;;99.194;100.25;96.710;---;15.723;15.723;15.723;---;993.53;73.343;15.723;---;---;24.782;24.423;25.250;---;62.765;19.510;8.228;---;4.897;5.694;3.677;---;;
23/09/2024;10:36:14;330.00;;99.089;100.53;96.161;---;15.723;15.723;15.723;---;993.57;73.551;15.723;---;---;24.794;24.391;25.316;---;62.771;19.498;8.215;---;4.882;5.748;3.683;---;;
23/09/2024;10:36:44;360.00;;99.242;100.17;96.542;---;15.722;15.722;15.722;---;993.52;73.559;15.722;---;---;24.777;24.432;25.271;---;62.762;19.493;8.228;---;4.915;5.697;3.685;---;;
23/09/2024;10:37:14;390.00;;99.440;100.15;96.713;---;15.731;15.731;15.731;---;993.62;73.551;15.731;---;---;24.751;24.433;25.248;---;62.766;19.503;8.221;---;4.897;5.698;3.667;---;;
23/09/2024;10:37:44;420.00;;99.202;99.930;96.461;---;15.736;15.736;15.736;---;993.53;73.630;15.736;---;---;24.780;24.459;25.278;---;62.771;19.511;8.214;---;4.889;5.698;3.665;---;;
23/09/2024;10:38:14;450.00;;99.114;99.666;96.461;---;15.731;15.731;15.731;---;993.50;73.917;15.731;---;---;24.791;24.491;25.280;---;62.769;19.511;8.225;---;4.895;5.744;3.682;---;;
23/09/2024;10:38:44;480.00;;99.060;100.12;94.780;---;15.736;15.736;15.736;---;993.48;73.597;15.736;---;---;24.797;24.438;25.486;---;62.756;19.536;8.229;---;4.879;5.733;3.651;---;;
23/09/2024;10:39:14;510.00;;99.101;99.974;96.483;---;15.739;15.739;15.739;---;993.55;73.874;15.739;---;---;24.791;24.453;25.275;---;62.771;19.502;8.218;---;4.858;5.723;3.668;---;;
23/09/2024;10:39:44;540.00;;98.950;99.834;96.794;---;15.741;15.741;15.741;---;993.51;74.011;15.741;---;---;24.809;24.470;25.237;---;62.737;19.526;8.234;---;4.908;5.693;3.683;---;;
23/09/2024;10:40:14;570.00;;99.111;99.965;96.050;---;15.746;15.746;15.746;---;993.58;74.029;15.746;---;---;24.788;24.453;25.327;---;62.764;19.538;8.233;---;4.847;5.696;3.662;---;;
23/09/2024;10:40:44;600.00;;99.025;99.820;95.387;---;15.739;15.739;15.739;---;993.53;74.040;15.739;---;---;24.800;24.472;25.411;---;62.783;19.539;8.213;---;4.931;5.653;3.660;---;;
23/09/2024;10:41:14;630.00;;99.037;99.988;95.917;---;15.738;15.738;15.738;---;993.46;74.055;15.738;---;---;24.799;24.453;25.345;---;62.755;19.525;8.209;---;4.933;5.688;3.664;---;;
23/09/2024;10:41:44;660.00;;99.019;99.549;96.047;---;15.738;15.738;15.738;---;993.51;74.083;15.738;---;---;24.802;24.504;25.329;---;62.776;19.551;8.227;---;4.947;5.733;3.667;---;;
23/09/2024;10:42:14;690.00;;99.353;99.799;96.011;---;15.745;15.745;15.745;---;993.57;74.126;15.745;---;---;24.761;24.473;25.332;---;62.795;19.533;8.242;---;4.906;5.707;3.684;---;;
23/09/2024;10:42:44;720.00;;99.189;99.735;96.584;---;15.749;15.749;15.749;---;993.56;74.230;15.749;---;---;24.779;24.480;25.261;---;62.797;19.556;8.221;---;4.889;5.666;3.681;---;;
23/09/2024;10:43:14;750.00;;99.065;99.635;96.103;---;15.751;15.751;15.751;---;993.55;74.223;15.751;---;---;24.794;24.492;25.321;---;62.815;19.548;8.226;---;4.875;5.713;3.688;---;;
23/09/2024;10:43:44;780.00;;99.083;99.348;95.665;---;15.751;15.751;15.751;---;993.59;74.055;15.751;---;---;24.791;24.524;25.373;---;62.825;19.556;8.231;---;4.945;5.734;3.676;---;;
23/09/2024;10:44:14;810.00;;99.198;99.490;96.634;---;15.753;15.753;15.753;---;993.58;74.172;15.753;---;---;24.777;24.508;25.255;---;62.824;19.570;8.214;---;4.924;5.720;3.671;---;;
23/09/2024;10:44:44;840.00;;99.119;99.592;95.706;---;15.755;15.755;15.755;---;993.58;73.823;15.755;---;---;24.786;24.496;25.368;---;62.835;19.569;8.226;---;4.902;5.714;3.684;---;;
23/09/2024;10:45:14;870.00;;99.110;98.848;96.178;---;15.759;15.759;15.759;---;993.55;73.297;15.759;---;---;24.788;24.583;25.310;---;62.791;19.575;8.235;---;4.911;5.725;3.692;---;;
23/09/2024;10:45:44;900.00;;99.058;99.327;96.330;---;15.757;15.757;15.757;---;993.54;73.208;15.757;---;---;24.794;24.527;25.292;---;62.814;19.560;8.224;---;4.891;5.732;3.683;---;;
23/09/2024;10:46:14;930.00;;99.265;100.21;96.597;---;15.755;15.755;15.755;---;993.59;72.753;15.755;---;---;24.769;24.424;25.259;---;62.801;19.567;8.244;---;4.902;5.692;3.675;---;;
23/09/2024;10:46:44;960.00;;99.189;100.04;95.990;---;15.759;15.759;15.759;---;993.61;73.055;15.759;---;---;24.777;24.442;25.332;---;62.801;19.566;8.216;---;4.907;5.704;3.674;---;;
23/09/2024;10:47:14;990.00;;99.245;99.903;95.975;---;15.759;15.759;15.759;---;993.56;73.015;15.759;---;---;24.772;24.460;25.335;---;62.779;19.567;8.237;---;4.897;5.686;3.675;---;;
23/09/2024;10:47:44;1020.00;;99.095;99.740;95.940;---;15.758;15.758;15.758;---;993.62;72.750;15.758;---;---;24.788;24.478;25.339;---;62.763;19.579;8.241;---;4.918;5.711;3.674;---;;
23/09/2024;10:48:14;1050.00;;99.163;99.732;95.527;---;15.754;15.754;15.754;---;993.60;73.015;15.754;---;---;24.781;24.479;25.389;---;62.812;19.586;8.244;---;4.865;5.713;3.701;---;;
23/09/2024;10:48:44;1080.00;;99.257;100.24;94.976;---;15.753;15.753;15.753;---;993.55;73.015;15.753;---;---;24.771;24.421;25.459;---;62.814;19.589;8.234;---;4.908;5.706;3.698;---;;
23/09/2024;10:49:14;1110.00;;98.883;99.738;95.573;---;15.760;15.760;15.760;---;993.56;73.099;15.760;---;---;24.814;24.479;25.384;---;62.911;19.588;8.239;---;4.901;5.722;3.693;---;;
23/09/2024;10:49:44;1140.00;;98.489;99.094;96.599;---;15.760;15.760;15.760;---;993.57;73.332;15.760;---;---;24.861;24.554;25.259;---;63.043;19.597;8.237;---;4.926;5.708;3.683;---;;
23/09/2024;10:50:14;1170.00;;98.142;99.273;96.028;---;15.758;15.758;15.758;---;993.57;73.386;15.758;---;---;24.902;24.533;25.328;---;63.103;19.598;8.249;---;4.890;5.669;3.679;---;;
23/09/2024;10:50:44;1200.00;;98.269;99.896;96.125;---;15.753;15.753;15.753;---;993.61;73.414;15.753;---;---;24.888;24.460;25.316;---;63.139;19.595;8.225;---;4.918;5.667;3.684;---;;
23/09/2024;10:51:14;1230.00;;98.171;100.32;96.659;---;15.754;15.754;15.754;---;993.63;73.544;15.754;---;---;24.899;24.410;25.251;---;63.167;19.587;8.240;---;4.910;5.699;3.676;---;;
23/09/2024;10:51:44;1260.00;;97.943;100.06;95.680;---;15.752;15.752;15.752;---;993.56;73.658;15.752;---;---;24.927;24.441;25.371;---;63.229;19.603;8.247;---;4.891;5.750;3.689;---;;
23/09/2024;10:52:14;1290.00;;98.083;99.433;95.782;---;15.752;15.752;15.752;---;993.60;73.673;15.752;---;---;24.910;24.515;25.359;---;63.222;19.590;8.242;---;4.919;5.726;3.661;---;;
23/09/2024;10:52:44;1320.00;;97.951;98.638;96.222;---;15.745;15.745;15.745;---;993.57;73.917;15.745;---;---;24.927;24.610;25.305;---;63.221;19.611;8.246;---;4.910;5.712;3.679;---;;
23/09/2024;10:53:14;1350.00;;98.049;99.219;95.453;---;15.730;15.730;15.730;---;993.59;74.047;15.730;---;---;24.916;24.542;25.401;---;63.207;19.595;8.239;---;4.899;5.722;3.674;---;;
23/09/2024;10:53:44;1380.00;;98.131;99.498;96.283;---;15.726;15.726;15.726;---;993.62;73.841;15.726;---;---;24.907;24.509;25.300;---;63.219;19.610;8.230;---;4.896;5.714;3.693;---;;
23/09/2024;10:54:14;1410.00;;98.019;99.828;96.317;---;15.723;15.723;15.723;---;993.60;73.864;15.723;---;---;24.921;24.472;25.297;---;63.192;19.611;8.219;---;4.923;5.721;3.674;---;;
23/09/2024;10:54:44;1440.00;;98.009;99.981;96.354;---;15.720;15.720;15.720;---;993.58;74.022;15.720;---;---;24.923;24.454;25.293;---;63.238;19.589;8.236;---;4.897;5.706;3.694;---;;
23/09/2024;10:55:14;1470.00;;97.977;100.10;95.495;---;15.713;15.713;15.713;---;993.53;74.032;15.713;---;---;24.928;24.442;25.399;---;63.215;19.619;8.240;---;4.907;5.725;3.688;---;;
23/09/2024;10:55:44;1500.00;;98.136;99.449;96.589;---;15.697;15.697;15.697;---;993.51;74.144;15.697;---;---;24.911;24.520;25.267;---;63.250;19.613;8.234;---;4.907;5.720;3.691;---;;
23/09/2024;10:56:14;1530.00;;98.045;100.15;95.578;---;15.697;15.697;15.697;---;993.56;73.991;15.697;---;---;24.921;24.438;25.390;---;63.252;19.611;8.240;---;4.920;5.729;3.697;---;;
23/09/2024;10:56:44;1560.00;;98.049;99.132;95.878;---;15.688;15.688;15.688;---;993.57;73.269;15.688;---;---;24.921;24.557;25.355;---;63.243;19.617;8.239;---;4.936;5.704;3.688;---;;
23/09/2024;10:57:14;1590.00;;98.028;99.684;95.231;---;15.681;15.681;15.681;---;993.57;73.460;15.681;---;---;24.925;24.494;25.435;---;63.279;19.599;8.251;---;4.932;5.745;3.698;---;;
23/09/2024;10:57:44;1620.00;;98.245;100.18;96.302;---;15.659;15.659;15.659;---;993.61;72.961;15.659;---;---;24.901;24.438;25.306;---;63.265;19.610;8.248;---;4.924;5.716;3.690;---;;
23/09/2024;10:58:14;1650.00;;98.040;99.691;95.954;---;15.652;15.652;15.652;---;993.56;72.664;15.652;---;---;24.927;24.495;25.349;---;63.288;19.644;8.253;---;4.924;5.706;3.682;---;;
23/09/2024;10:58:44;1680.00;;98.039;99.850;95.768;---;15.640;15.640;15.640;---;993.49;72.671;15.640;---;---;24.929;24.480;25.374;---;63.297;19.607;8.238;---;4.928;5.696;3.671;---;;
23/09/2024;10:59:14;1710.00;;98.089;99.483;95.918;---;15.637;15.637;15.637;---;993.49;72.656;15.637;---;---;24.923;24.523;25.356;---;63.293;19.596;8.250;---;4.918;5.717;3.681;---;;
23/09/2024;10:59:44;1740.00;;97.965;99.988;96.236;---;15.603;15.603;15.603;---;993.52;72.610;15.603;---;---;24.942;24.467;25.321;---;63.273;19.614;8.237;---;4.870;5.701;3.677;---;;
23/09/2024;11:00:14;1770.00;;98.124;100.13;96.755;---;15.594;15.594;15.594;---;993.52;72.463;15.594;---;---;24.924;24.451;25.259;---;63.283;19.621;8.260;---;4.879;5.719;3.684;---;;
