;;; ;Oxygen;Oxygen;Oxygen;;Compensation;Temperature;('C);;Pressure;Humidity;Temp. Probe;Int. Temp.;Analog In;Raw Data:; dphi (°);;;Signal;Intensity;(mV);;Ambient;Light;(mV);;Advanced Raw Values (only logged while raw data window is open);
Date;Time (HH:MM:SS);Time (s);Comment;Ch1;Ch2;Ch3;Ch4;Ch 1;Ch 2;Ch 3;Ch 4;(mbar);(%);('C);('C); (mV);Ch 1;Ch 2;Ch 3;Ch 4;Ch1;Ch2;Ch3;Ch4;Ch1;Ch2;Ch3;Ch4; (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi);
25/09/2024;09:49:11;600.00;;100.53;100.99;---;---;15.525;15.525;15.525;---;996.18;75.540;15.525;---;---;24.615;24.329;12.519;---;59.592;18.595;0.068;---;4.828;5.642;3.614;---;;
25/09/2024;09:49:41;630.00;;100.34;100.77;---;---;15.531;15.531;15.531;---;996.29;75.733;15.531;---;---;24.635;24.352;9.785;---;59.628;18.633;0.060;---;4.800;5.644;3.639;---;;
25/09/2024;09:50:11;660.00;;100.28;101.91;---;---;15.539;15.539;15.539;---;996.27;75.855;15.539;---;---;24.642;24.220;7.607;---;59.671;18.594;0.069;---;4.842;5.607;3.624;---;;
25/09/2024;09:50:41;690.00;;100.26;100.64;---;---;15.552;15.552;15.552;---;996.24;75.606;15.552;---;---;24.643;24.365;23.491;---;59.680;18.586;0.083;---;4.789;5.586;3.634;---;;
25/09/2024;09:51:11;720.00;;100.21;101.42;---;---;15.570;15.570;15.570;---;996.27;75.341;15.570;---;---;24.647;24.272;-3.546;---;59.715;18.586;0.072;---;4.838;5.634;3.643;---;;
25/09/2024;09:51:41;750.00;;100.05;101.00;---;---;15.584;15.584;15.584;---;996.31;74.856;15.584;---;---;24.664;24.319;18.374;---;59.703;18.599;0.086;---;4.748;5.648;3.610;---;;
25/09/2024;09:52:11;780.00;;100.20;101.00;---;---;15.592;15.592;15.592;---;996.34;74.503;15.592;---;---;24.645;24.318;5.991;---;59.712;18.581;0.083;---;4.876;5.663;3.634;---;;
25/09/2024;09:52:41;810.00;;99.581;101.63;---;---;15.601;15.601;15.601;---;996.30;74.078;15.601;---;---;24.717;24.245;5.882;---;59.771;18.593;0.076;---;4.824;5.649;3.632;---;;
25/09/2024;09:53:11;840.00;;99.029;101.22;---;---;15.604;15.604;15.604;---;996.31;73.757;15.604;---;---;24.782;24.291;14.123;---;60.087;18.579;0.066;---;4.847;5.632;3.650;---;;
25/09/2024;09:53:41;870.00;;98.842;101.12;---;---;15.614;15.614;15.614;---;996.33;73.376;15.614;---;---;24.803;24.301;13.111;---;60.085;18.613;0.087;---;4.840;5.614;3.669;---;;
25/09/2024;09:54:11;900.00;;98.776;101.46;---;---;15.616;15.616;15.616;---;996.33;73.419;15.616;---;---;24.810;24.261;8.089;---;60.100;18.585;0.073;---;4.771;5.619;3.607;---;;
25/09/2024;09:54:41;930.00;;98.777;100.87;---;---;15.615;15.615;15.615;---;996.39;73.238;15.615;---;---;24.809;24.330;4.617;---;60.166;18.568;0.063;---;4.846;5.642;3.652;---;;
