;;; ;Oxygen;Oxygen;Oxygen;;Compensation;Temperature;('C);;Pressure;Humidity;Temp. Probe;Int. Temp.;Analog In;Raw Data:; dphi (°);;;Signal;Intensity;(mV);;Ambient;Light;(mV);;Advanced Raw Values (only logged while raw data window is open);
Date;Time (HH:MM:SS);Time (s);Comment;Ch1;Ch2;Ch3;Ch4;Ch 1;Ch 2;Ch 3;Ch 4;(mbar);(%);('C);('C); (mV);Ch 1;Ch 2;Ch 3;Ch 4;Ch1;Ch2;Ch3;Ch4;Ch1;Ch2;Ch3;Ch4; (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi);
24/09/2024;13:12:48;0.00;;99.926;99.625;94.841;---;15.598;15.598;15.598;---;994.81;75.919;15.598;---;---;24.694;24.495;25.478;---;60.068;18.381;8.346;---;4.877;5.674;3.686;---;;
24/09/2024;13:13:18;30.00;;99.616;99.276;95.618;---;15.611;15.611;15.611;---;994.79;75.611;15.611;---;---;24.729;24.534;25.380;---;60.124;18.386;8.342;---;4.810;5.669;3.662;---;;
24/09/2024;13:13:48;60.00;;99.392;99.175;96.277;---;15.620;15.620;15.620;---;994.70;75.230;15.620;---;---;24.756;24.546;25.300;---;60.240;18.389;8.303;---;4.821;5.607;3.645;---;;
24/09/2024;13:14:18;90.00;;98.944;98.946;94.703;---;15.623;15.623;15.623;---;994.69;74.790;15.623;---;---;24.809;24.574;25.497;---;60.268;18.399;8.307;---;4.826;5.629;3.653;---;;
24/09/2024;13:14:48;120.00;;99.103;98.950;95.523;---;15.635;15.635;15.635;---;994.72;74.001;15.635;---;---;24.788;24.571;25.392;---;60.246;18.378;8.272;---;4.831;5.657;3.600;---;;
24/09/2024;13:15:18;150.00;;99.126;99.237;94.754;---;15.646;15.646;15.646;---;994.74;73.360;15.646;---;---;24.784;24.536;25.483;---;60.225;18.403;8.295;---;4.871;5.633;3.652;---;;
24/09/2024;13:15:48;180.00;;99.088;99.124;95.215;---;15.647;15.647;15.647;---;994.71;73.315;15.647;---;---;24.789;24.549;25.428;---;60.236;18.428;8.287;---;4.834;5.646;3.639;---;;
24/09/2024;13:16:18;210.00;;99.364;99.350;96.312;---;15.641;15.641;15.641;---;994.75;72.882;15.641;---;---;24.756;24.523;25.292;---;60.260;18.401;8.297;---;4.843;5.674;3.645;---;;
24/09/2024;13:16:48;240.00;;99.017;98.116;96.345;---;15.631;15.631;15.631;---;994.73;72.702;15.631;---;---;24.798;24.671;25.290;---;60.280;18.394;8.290;---;4.883;5.625;3.642;---;;
24/09/2024;13:17:18;270.00;;99.066;98.571;95.607;---;15.635;15.635;15.635;---;994.68;72.834;15.635;---;---;24.793;24.616;25.380;---;60.262;18.395;8.287;---;4.863;5.615;3.660;---;;
24/09/2024;13:17:48;300.00;;98.560;99.511;95.773;---;15.631;15.631;15.631;---;994.67;73.262;15.631;---;---;24.854;24.506;25.361;---;60.279;18.429;8.271;---;4.880;5.651;3.653;---;;
24/09/2024;13:18:18;330.00;;99.191;99.007;95.253;---;15.630;15.630;15.630;---;994.70;73.836;15.630;---;---;24.779;24.565;25.424;---;60.287;18.410;8.278;---;4.800;5.693;3.641;---;;
24/09/2024;13:18:48;360.00;;98.742;98.740;95.293;---;15.626;15.626;15.626;---;994.66;74.245;15.626;---;---;24.833;24.598;25.420;---;60.325;18.407;8.275;---;4.835;5.699;3.634;---;;
24/09/2024;13:19:18;390.00;;98.959;98.959;96.222;---;15.623;15.623;15.623;---;994.70;74.879;15.623;---;---;24.807;24.571;25.306;---;60.361;18.410;8.295;---;4.860;5.657;3.663;---;;
24/09/2024;13:19:48;420.00;;99.002;98.527;95.938;---;15.622;15.622;15.622;---;994.66;75.153;15.622;---;---;24.803;24.623;25.342;---;60.400;18.423;8.280;---;4.876;5.610;3.658;---;;
24/09/2024;13:20:18;450.00;;98.987;98.315;95.793;---;15.620;15.620;15.620;---;994.66;75.504;15.620;---;---;24.805;24.650;25.359;---;60.395;18.444;8.282;---;4.879;5.657;3.669;---;;
