"Time","O2","Condition","ID"
0.999999999999999,216.552920754614,"ZooHP","ZooHP.4"
1.00833333333333,216.663379389095,"ZooHP","ZooHP.4"
1.01666666666667,216.206620781538,"ZooHP","ZooHP.4"
1.025,215.570152540131,"ZooHP","ZooHP.4"
1.03333333333333,216.705492721423,"ZooHP","ZooHP.4"
1.04166666666667,215.2651711649,"ZooHP","ZooHP.4"
1.05,210.673206744269,"ZooHP","ZooHP.4"
1.05833333333333,216.589406629903,"ZooHP","ZooHP.4"
1.06666666666667,213.94102221318,"ZooHP","ZooHP.4"
1.075,216.358188280588,"ZooHP","ZooHP.4"
1.08333333333333,216.216111599084,"ZooHP","ZooHP.4"
1.09166666666667,216.601570676902,"ZooHP","ZooHP.4"
1.1,216.263688536237,"ZooHP","ZooHP.4"
1.10833333333333,216.312261138208,"ZooHP","ZooHP.4"
1.11666666666667,216.271224973614,"ZooHP","ZooHP.4"
1.125,215.630959954812,"ZooHP","ZooHP.4"
1.13333333333333,216.278763346634,"ZooHP","ZooHP.4"
1.14166666666667,216.464889114657,"ZooHP","ZooHP.4"
1.15,215.387881509147,"ZooHP","ZooHP.4"
1.15833333333333,216.368667406238,"ZooHP","ZooHP.4"
1.16666666666667,216.312548412152,"ZooHP","ZooHP.4"
1.175,212.527894956216,"ZooHP","ZooHP.4"
1.18333333333333,215.64045870322,"ZooHP","ZooHP.4"
1.19166666666667,210.698752222407,"ZooHP","ZooHP.4"
1.2,216.668259279396,"ZooHP","ZooHP.4"
1.20833333333333,216.363085615049,"ZooHP","ZooHP.4"
1.21666666666667,215.993880983398,"ZooHP","ZooHP.4"
1.225,216.261043584234,"ZooHP","ZooHP.4"
1.23333333333333,216.901562496066,"ZooHP","ZooHP.4"
1.24166666666667,200.16643721232,"ZooHP","ZooHP.4"
1.25,216.429408842769,"ZooHP","ZooHP.4"
1.25833333333333,203.532118098303,"ZooHP","ZooHP.4"
1.26666666666667,216.537834810578,"ZooHP","ZooHP.4"
1.275,212.495679734019,"ZooHP","ZooHP.4"
1.28333333333333,216.420201676964,"ZooHP","ZooHP.4"
1.29166666666667,207.208229569791,"ZooHP","ZooHP.4"
1.3,215.994865163433,"ZooHP","ZooHP.4"
1.30833333333333,215.539782118177,"ZooHP","ZooHP.4"
1.31666666666667,216.019105497793,"ZooHP","ZooHP.4"
1.325,215.578023463168,"ZooHP","ZooHP.4"
1.33333333333333,215.545332603991,"ZooHP","ZooHP.4"
1.34166666666667,213.973459863155,"ZooHP","ZooHP.4"
1.35,215.908734497026,"ZooHP","ZooHP.4"
1.35833333333333,215.483915630701,"ZooHP","ZooHP.4"
1.36666666666667,207.183111736266,"ZooHP","ZooHP.4"
1.375,216.550265644104,"ZooHP","ZooHP.4"
1.38333333333333,215.320972125146,"ZooHP","ZooHP.4"
1.39166666666667,215.928379318157,"ZooHP","ZooHP.4"
1.4,214.138736577055,"ZooHP","ZooHP.4"
1.40833333333333,216.259084602242,"ZooHP","ZooHP.4"
1.41666666666667,215.878938733544,"ZooHP","ZooHP.4"
1.425,203.562941007731,"ZooHP","ZooHP.4"
1.43333333333333,216.626876110948,"ZooHP","ZooHP.4"
1.44166666666667,215.975210721419,"ZooHP","ZooHP.4"
1.45,215.045112188105,"ZooHP","ZooHP.4"
1.45833333333333,215.843587731094,"ZooHP","ZooHP.4"
1.46666666666667,215.223430943004,"ZooHP","ZooHP.4"
1.475,216.279743195608,"ZooHP","ZooHP.4"
1.48333333333333,215.529672761367,"ZooHP","ZooHP.4"
1.49166666666667,215.824308308242,"ZooHP","ZooHP.4"
1.5,210.813763102829,"ZooHP","ZooHP.4"
1.50833333333333,214.479720052624,"ZooHP","ZooHP.4"
1.51666666666667,215.792563131573,"ZooHP","ZooHP.4"
1.525,214.486225987092,"ZooHP","ZooHP.4"
1.53333333333333,215.550278617749,"ZooHP","ZooHP.4"
1.54166666666667,215.746745225256,"ZooHP","ZooHP.4"
1.55,207.145443358355,"ZooHP","ZooHP.4"
1.55833333333333,214.223171477795,"ZooHP","ZooHP.4"
1.56666666666667,215.85050101739,"ZooHP","ZooHP.4"
1.575,215.891395840912,"ZooHP","ZooHP.4"
1.58333333333333,215.746745225256,"ZooHP","ZooHP.4"
1.59166666666667,215.821342708926,"ZooHP","ZooHP.4"
1.6,216.00141722676,"ZooHP","ZooHP.4"
1.60833333333333,215.89238446664,"ZooHP","ZooHP.4"
1.61666666666667,215.469257611194,"ZooHP","ZooHP.4"
1.625,215.394805712378,"ZooHP","ZooHP.4"
1.63333333333333,215.513032551532,"ZooHP","ZooHP.4"
1.64166666666667,215.600613000108,"ZooHP","ZooHP.4"
1.65,216.018472999823,"ZooHP","ZooHP.4"
1.65833333333333,215.487875325198,"ZooHP","ZooHP.4"
1.66666666666667,215.095312349105,"ZooHP","ZooHP.4"
1.675,214.8529471458,"ZooHP","ZooHP.4"
1.68333333333333,215.36768088214,"ZooHP","ZooHP.4"
1.69166666666667,215.54274884343,"ZooHP","ZooHP.4"
1.7,214.077308813091,"ZooHP","ZooHP.4"
1.70833333333333,215.101836681649,"ZooHP","ZooHP.4"
1.71666666666667,203.606104587392,"ZooHP","ZooHP.4"
1.725,215.60418138396,"ZooHP","ZooHP.4"
1.73333333333333,215.758846915072,"ZooHP","ZooHP.4"
1.74166666666667,215.535220995812,"ZooHP","ZooHP.4"
1.75,215.690817069702,"ZooHP","ZooHP.4"
1.75833333333333,214.893047463555,"ZooHP","ZooHP.4"
1.76666666666667,215.589517354045,"ZooHP","ZooHP.4"
1.775,215.651953629183,"ZooHP","ZooHP.4"
1.78333333333333,215.897945310727,"ZooHP","ZooHP.4"
1.79166666666667,215.033060863416,"ZooHP","ZooHP.4"
1.8,215.04965014319,"ZooHP","ZooHP.4"
1.80833333333333,215.716001273393,"ZooHP","ZooHP.4"
1.81666666666667,215.287729278591,"ZooHP","ZooHP.4"
1.825,215.831478793217,"ZooHP","ZooHP.4"
1.83333333333333,215.326515215792,"ZooHP","ZooHP.4"
1.84166666666667,215.993880983398,"ZooHP","ZooHP.4"
1.85,214.958784057835,"ZooHP","ZooHP.4"
1.85833333333333,215.063687426176,"ZooHP","ZooHP.4"
1.86666666666667,215.89695744049,"ZooHP","ZooHP.4"
1.875,215.695385152759,"ZooHP","ZooHP.4"
1.88333333333333,214.928175844038,"ZooHP","ZooHP.4"
1.89166666666667,214.572323321123,"ZooHP","ZooHP.4"
1.9,215.603192674006,"ZooHP","ZooHP.4"
1.90833333333333,215.422520926763,"ZooHP","ZooHP.4"
1.91666666666667,214.548807936183,"ZooHP","ZooHP.4"
1.925,215.166099916757,"ZooHP","ZooHP.4"
1.93333333333333,216.517731280638,"ZooHP","ZooHP.4"
1.94166666666667,215.533640698774,"ZooHP","ZooHP.4"
1.95,215.477781113906,"ZooHP","ZooHP.4"
1.95833333333333,216.015508343476,"ZooHP","ZooHP.4"
1.96666666666667,215.11787356657,"ZooHP","ZooHP.4"
1.975,215.625785208232,"ZooHP","ZooHP.4"
1.98333333333333,215.462721441134,"ZooHP","ZooHP.4"
1.99166666666667,215.348084541545,"ZooHP","ZooHP.4"
2,215.329480182348,"ZooHP","ZooHP.4"
2.00833333333333,215.674156809545,"ZooHP","ZooHP.4"
2.01666666666667,215.526108655777,"ZooHP","ZooHP.4"
2.025,215.078723149793,"ZooHP","ZooHP.4"
2.03333333333333,215.380746561536,"ZooHP","ZooHP.4"
2.04166666666667,215.402920273253,"ZooHP","ZooHP.4"
2.05,215.212357396714,"ZooHP","ZooHP.4"
2.05833333333333,214.976356938247,"ZooHP","ZooHP.4"
2.06666666666667,214.869516559171,"ZooHP","ZooHP.4"
2.075,215.021585710421,"ZooHP","ZooHP.4"
2.08333333333333,214.784262352603,"ZooHP","ZooHP.4"
2.09166666666667,215.307321318911,"ZooHP","ZooHP.4"
2.1,215.195752675151,"ZooHP","ZooHP.4"
2.10833333333333,214.710085338641,"ZooHP","ZooHP.4"
2.11666666666667,215.384310066057,"ZooHP","ZooHP.4"
2.125,215.1304906419,"ZooHP","ZooHP.4"
2.13333333333333,214.063321682194,"ZooHP","ZooHP.4"
2.14166666666667,214.476720465684,"ZooHP","ZooHP.4"
2.15,214.511763168874,"ZooHP","ZooHP.4"
2.15833333333333,215.394413600712,"ZooHP","ZooHP.4"
2.16666666666667,214.932706919261,"ZooHP","ZooHP.4"
2.175,214.168708123836,"ZooHP","ZooHP.4"
2.18333333333333,214.797291132141,"ZooHP","ZooHP.4"
2.19166666666667,214.747170075092,"ZooHP","ZooHP.4"
2.2,214.658000209294,"ZooHP","ZooHP.4"
2.20833333333333,214.529289373947,"ZooHP","ZooHP.4"
2.21666666666667,214.825891151139,"ZooHP","ZooHP.4"
2.225,214.813853924984,"ZooHP","ZooHP.4"
2.23333333333333,214.498752802894,"ZooHP","ZooHP.4"
2.24166666666667,214.808332250881,"ZooHP","ZooHP.4"
