;;; ;Oxygen;Oxygen;Oxygen;;Compensation;Temperature;('C);;Pressure;Humidity;Temp. Probe;Int. Temp.;Analog In;Raw Data:; dphi (°);;;Signal;Intensity;(mV);;Ambient;Light;(mV);;Advanced Raw Values (only logged while raw data window is open);
Date;Time (HH:MM:SS);Time (s);Comment;Ch1;Ch2;Ch3;Ch4;Ch 1;Ch 2;Ch 3;Ch 4;(mbar);(%);('C);('C); (mV);Ch 1;Ch 2;Ch 3;Ch 4;Ch1;Ch2;Ch3;Ch4;Ch1;Ch2;Ch3;Ch4; (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi);
19/09/2024;10:32:42;0.00;;98.139;99.820;99.376;---;15.605;15.605;15.605;---;997.27;70.408;15.605;---;---;24.876;24.443;24.900;---;65.898;23.785;7.880;---;4.967;5.803;3.710;---;;
19/09/2024;10:33:12;30.00;;97.924;98.951;98.457;---;15.601;15.601;15.601;---;997.31;70.418;15.601;---;---;24.902;24.544;25.8;---;65.939;23.862;7.894;---;4.962;5.756;3.704;---;;
19/09/2024;10:33:42;60.00;;97.732;98.087;98.193;---;15.598;15.598;15.598;---;997.29;70.443;15.598;---;---;24.925;24.647;25.040;---;65.951;23.945;7.883;---;4.943;5.731;3.710;---;;
19/09/2024;10:34:12;90.00;;97.945;98.057;98.830;---;15.602;15.602;15.602;---;997.35;70.545;15.602;---;---;24.898;24.650;24.964;---;65.954;23.957;7.883;---;4.940;5.735;3.703;---;;
19/09/2024;10:34:42;120.00;;97.768;97.952;99.012;---;15.605;15.605;15.605;---;997.27;70.555;15.605;---;---;24.920;24.663;24.942;---;65.988;23.983;7.879;---;4.948;5.734;3.702;---;;
19/09/2024;10:35:12;150.00;;97.533;98.161;99.721;---;15.606;15.606;15.606;---;997.26;70.385;15.606;---;---;24.948;24.638;24.859;---;66.035;24.035;7.882;---;4.900;5.676;3.706;---;;
19/09/2024;10:35:42;180.00;;97.503;98.448;98.284;---;15.596;15.596;15.596;---;997.18;70.385;15.596;---;---;24.954;24.605;25.031;---;66.089;23.999;7.881;---;4.908;5.690;3.672;---;;
19/09/2024;10:36:12;210.00;;97.554;97.035;99.385;---;15.588;15.588;15.588;---;997.22;70.522;15.588;---;---;24.949;24.775;24.901;---;66.204;24.067;7.881;---;4.899;5.700;3.678;---;;
19/09/2024;10:36:42;240.00;;97.389;98.189;98.465;---;15.598;15.598;15.598;---;997.28;70.141;15.598;---;---;24.966;24.635;25.7;---;66.258;24.029;7.882;---;4.928;5.734;3.685;---;;
19/09/2024;10:37:12;270.00;;97.384;97.893;98.539;---;15.606;15.606;15.606;---;997.22;70.261;15.606;---;---;24.967;24.670;24.999;---;66.278;24.055;7.882;---;4.955;5.696;3.691;---;;
